Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,TheatersOpenWeek,OpeningWeekend,BOAvgOpenWeekend,Budget,DomesticGross,WorldGross,ForeignGross,Year
Fantastic Beasts and Where to Find Them,Warner Bros.,74,79,Adventure,4144,74.4,17954,180,234.04,802.4,568.36,2016
Fences,Paramount Pictures,92,75,Drama,4,0.13,32500,24,57.68,64.28,6.6,2016
Fifty Shades of Black,Open Road Films (II),7,19,Comedy,2075,5.9,2843,5,11.69,22.11,10.42,2016
Finding Dory,Walt Disney Studios Motion Pictures,94,84,Adventure,4305,135.06,31373,200,486.3,1028.57,542.27,2016
Florence Foster Jenkins,Paramount Pictures,88,68,Drama,1528,6.6,4319,29,27.38,56,28.62,2016
Free State of Jones,STX Entertainment,46,64,Drama,2815,7.57,2689,50,20.81,23.24,2.43,2016
Ghostbusters,Sony Pictures Releasing,74,50,Comedy,3963,46.02,11612,144,128.35,229.01,100.66,2016
God's Not Dead 2,Pure Flix Entertainment,8,62,Drama,2419,7.62,3150,5,20.77,23.55,2.78,2016
Gods of Egypt,Lionsgate,16,37,Adventure,3117,14.12,4530,140,31.15,138.84,107.69,2016
Greater,"Hammond Entertainment, LLC",67,85,Drama,340,0.63,1853,9,2,2,0,2016
Green Room,A24,91,75,Horror,3,0.09,30000,5,3.22,3.81,0.59,2016
Hacksaw Ridge,Lionsgate,85,91,Drama,2886,15.19,5263,40,67.21,168.9,101.69,2016
"Hail, Caesar!",Universal Pictures,86,44,Comedy,2232,11.36,5090,22,30.5,64.22,33.72,2016
Hands of Stone,The Weinstein Company,44,52,Drama,810,1.75,2160,20,4.71,5.03,0.32,2016
Hardcore Henry,STX Entertainment,50,54,Action,3015,5.11,1695,2,9.25,17.19,7.94,2016
Hell or High Water,Lionsgate,97,88,Western,32,0.62,19375,12,27.01,37.58,10.57,2016
"Hello, My Name Is Doris",Roadside Attractions,84,76,Drama,4,0.08,20000,1,14.44,14.66,0.22,2016
Hidden Figures,Twentieth Century Fox,93,93,Drama,25,0.52,20800,25,169.61,231.77,62.16,2016
Hillary's America: The Secret History of the Democratic Party,Quality Flix,4,80,Documentary,3,0.07,23333,5,13.1,13.1,0,2016
Hillsong: Let Hope Rise,Pure Flix Entertainment,60,79,Documentary,816,1.36,1667,10,2.39,2.68,0.29,2016
How to Be Single,Warner Bros.,46,47,Romantic Comedy,3343,17.88,5348,37,46.84,100,53.16,2016
Hunt for the Wilderpeople,The Orchard,96,91,Comedy,5,0.08,16000,2.5,5.21,23.85,18.64,2016
Ice Age: Collision Course,Twentieth Century Fox,18,39,Adventure,3992,21.37,5353,105,64.06,402.16,338.1,2016
I'm Not Ashamed,Pure Flix Entertainment,20,82,Drama,505,0.93,1842,2,2.08,2.08,0,2016
Incarnate,BH Tilt,18,23,Horror,1737,2.53,1457,5,4.8,9.37,4.57,2016
Independence Day: Resurgence,Twentieth Century Fox,29,30,Action,4130,41.04,9937,165,103.14,384.17,281.03,2016
Inferno,Sony Pictures Releasing,23,36,Thriller,3576,14.86,4155,75,34.34,219.52,185.18,2016
Jack Reacher: Never Go Back,Paramount Pictures,37,42,Action,3780,22.87,6050,60,58.7,159.95,101.25,2016
Jackie,Fox Searchlight Pictures,87,60,Drama,5,0.28,56000,9,13.96,36.59,22.63,2016
Jason Bourne,Universal Pictures,55,55,Action,4026,59.22,14709,120,162.43,416.17,253.74,2016
Keanu,Warner Bros.,78,55,Comedy,2658,9.45,3555,15,20.59,20.69,0.1,2016
Keeping Up with the Joneses,Twentieth Century Fox,19,37,Comedy,3022,5.46,1807,40,14.9,29.92,15.02,2016
Kevin Hart: What Now?,Universal Pictures,76,58,Concert,2567,11.77,4585,10,23.59,23.59,0,2016
Kubo and the Two Strings,Focus Features,97,86,Adventure,3260,12.61,3868,55,48.02,77.55,29.53,2016
Kung Fu Panda 3,Twentieth Century Fox,87,78,Adventure,3955,41.28,10437,140,143.53,517.6,374.07,2016
La La Land,Lionsgate,91,81,Musical,5,0.88,176000,20,151.1,426.35,275.25,2016
Lights Out,Warner Bros.,76,61,Horror,2818,21.69,7697,5,67.27,148.81,81.54,2016
Lion,The Weinstein Company,85,91,Drama,4,0.12,30000,12,51.74,149.57,97.83,2016
Live by Night,Warner Bros.,35,42,Drama,4,0.03,7500,65,10.38,21.77,11.39,2016
London Has Fallen,Focus Features,27,51,Thriller,3490,21.64,6201,60,62.52,195.19,132.67,2016
Loving,Focus Features,89,76,Drama,4,0.16,40000,9,7.75,12.9,5.15,2016
Manchester by the Sea,Roadside Attractions,96,78,Drama,4,0.26,65000,8.5,47.7,77.73,30.03,2016
Max Steel,Open Road Films (II),0,48,Action,2034,2.18,1072,10,3.82,4.56,0.74,2016
Me Before You,Warner Bros.,56,73,Drama,2704,18.72,6923,20,56.25,208.27,152.02,2016
Mechanic: Resurrection,Lionsgate,32,40,Action,2258,7.46,3304,40,21.22,125.73,104.51,2016
Meet the Blacks,Freestyle Releasing,17,73,Comedy,1015,4.06,4000,0.9,9.1,9.1,0,2016
Mei ren yu,Sony Pictures Releasing,95,60,Romantic Comedy,35,0.99,28286,60.72,3.23,554.52,551.29,2016
Middle School: The Worst Years of My Life,Lionsgate,63,58,Adventure,2822,6.88,2438,8.5,20.01,23.31,3.3,2016
Midnight Special,Warner Bros.,83,67,Drama,5,0.19,38000,18,3.71,7.68,3.97,2016
Mike and Dave Need Wedding Dates,Twentieth Century Fox,37,51,Comedy,2982,16.63,5577,33,46.01,75.9,29.89,2016
Miracles from Heaven,TriStar Pictures,45,81,Drama,3047,14.81,4861,13,61.71,73.8,12.09,2016
Miss Peregrine's Home for Peculiar Children,Twentieth Century Fox,64,60,Adventure,3522,28.87,8197,110,87.24,295.99,208.75,2016
Miss Sloane,EuropaCorp,76,71,Drama,3,0.06,20000,18,3.5,7.72,4.22,2016
Moana,Walt Disney Studios Motion Pictures,96,89,Musical,3875,56.63,14614,150,248.76,637.52,388.76,2016
Money Monster,TriStar Pictures,59,51,Thriller,3104,14.79,4765,27,41.01,93.47,52.46,2016
Moonlight,A24,98,79,Drama,4,0.4,1.00E+05,1.5,27.85,65.25,37.4,2016
Morgan,Twentieth Century Fox,38,30,Thriller,2020,2.01,995,8,3.92,7.3,3.38,2016
Mother's Day,Open Road Films (II),6,44,Romantic Comedy,3035,8.37,2758,25,32.49,52.37,19.88,2016
My Big Fat Greek Wedding 2,Universal Pictures,28,53,Comedy,3133,17.86,5701,18,59.69,92.1,32.41,2016
Neighbors 2: Sorority Rising,Universal Pictures,63,44,Comedy,3384,21.76,6430,35,55.46,108.76,53.3,2016
Nerve,Lionsgate,67,66,Thriller,2538,9.45,3723,20,38.58,70.65,32.07,2016
Nine Lives,EuropaCorp,14,41,Adventure,2264,6.25,2761,30,19.7,57.81,38.11,2016
Nocturnal Animals,Focus Features,74,73,Thriller,37,0.49,13243,22.5,10.66,32.4,21.74,2016
Norm of the North,Lionsgate,9,22,Adventure,2411,6.84,2837,18,17.06,30.54,13.48,2016
Now You See Me 2,Lionsgate,34,53,Thriller,3232,22.38,6925,90,65.08,328.33,263.25,2016
Office Christmas Party,Paramount Pictures,40,40,Comedy,3210,16.89,5262,45,54.77,91.32,36.55,2016
Ouija: Origin of Evil,Universal Pictures,82,57,Horror,3167,14.07,4443,9,35.14,81.83,46.69,2016
Passengers,Sony Pictures Releasing,30,63,Thriller,3478,14.87,4275,110,100.01,302.24,202.23,2016
Paterson,Bleecker Street Media,96,72,Comedy,4,0.07,17500,5,2.15,10.73,8.58,2016
Patriots Day,Lionsgate,80,86,Thriller,7,0.16,22857,40,31.89,52.84,20.95,2016
Pete's Dragon,Walt Disney Studios Motion Pictures,88,72,Adventure,3702,21.51,5810,65,76.23,137.77,61.54,2016
Popstar: Never Stop Never Stopping,Universal Pictures,78,65,Comedy,2311,4.7,2034,20,9.64,9.54,-0.1,2016
Pride and Prejudice and Zombies,Screen Gems,45,44,Black Comedy,2931,5.32,1815,28,10.94,16.64,5.7,2016
Queen of Katwe,Walt Disney Studios Motion Pictures,93,87,Drama,52,0.3,5769,15,8.87,10.06,1.19,2016
Race,Focus Features,62,77,Drama,2369,7.35,3103,5,19.21,23.75,4.54,2016
Ratchet and Clank,Focus Features,21,42,Adventure,2891,4.87,1685,20,8.82,14.37,5.55,2016
Ride Along 2,Universal Pictures,14,48,Comedy,3175,35.24,11099,40,91.22,124.83,33.61,2016
Risen,Sony Pictures Releasing,53,69,Drama,2915,11.8,4048,20,36.88,46.26,9.38,2016
Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,83,86,Adventure,4157,155.08,37306,200,532.18,1056.06,523.88,2016
Rules Don't Apply,Twentieth Century Fox,55,34,Romantic Comedy,2382,1.59,668,27,3.65,3.87,0.22,2016
Sausage Party,Sony Pictures Releasing,83,50,Comedy,3103,34.26,11041,19,97.69,141.34,43.65,2016
Shut In,EuropaCorp,9,22,Thriller,2058,3.61,1754,10,6.9,11.36,4.46,2016
Silence,Paramount Pictures,83,69,Drama,4,0.13,32500,46.5,7.1,23.73,16.63,2016
Sing,Universal Pictures,72,72,Adventure,4022,35.26,8767,75,270.4,634.45,364.05,2016
Snowden,Open Road Films (II),60,70,Drama,2443,8,3275,50,21.59,35.38,13.79,2015
Star Trek Beyond,Paramount Pictures,86,80,Adventure,3928,59.25,15084,185,158.85,335.8,176.95,2016
Storks,Warner Bros.,66,62,Adventure,3922,21.31,5433,70,72.68,183.35,110.67,2016
Suicide Squad,Warner Bros.,27,59,Action,4255,133.68,31417,175,325.1,746.06,420.96,2016
Sully,Warner Bros.,86,84,Drama,3525,35.03,9938,60,125.07,238.52,113.45,2016
Sultan,-,83,76,Action,282,2.37,8404,11,6.2,72.99,66.79,2016
Swiss Army Man,A24,71,72,Drama,3,0.11,36667,3,4.21,5.84,1.63,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,37,37,Adventure,4071,35.32,8676,135,82.05,245.33,163.28,2016
The 5th Wave,Sony Pictures Releasing,15,38,Action,2908,10.33,3552,38,34.92,111.34,76.42,2016
The Accountant,Warner Bros.,52,76,Thriller,3332,24.71,7416,40,86.26,152.96,66.7,2016
The Angry Birds Movie,Sony Pictures Releasing,44,46,Adventure,3932,38.16,9705,73,107.51,352.33,244.82,2016
The BFG,Walt Disney Studios Motion Pictures,75,57,Adventure,3357,18.78,5594,140,55.48,199.65,144.17,2016
The Birth of a Nation,Fox Searchlight Pictures,72,71,Drama,2105,7,3325,10,15.86,16.89,1.03,2016
The Boss,Universal Pictures,21,38,Comedy,3480,23.59,6779,29,63.29,78.65,15.36,2016
The Boy,STX Entertainment,30,38,Thriller,2671,10.78,4036,10,35.82,68.22,32.4,2016
The Brothers Grimsby,Sony Pictures Releasing,38,41,Comedy,2235,3.26,1459,35,6.87,28.72,21.85,2016
The Conjuring 2,Warner Bros.,80,81,Horror,3343,40.41,12088,40,102.47,311.26,208.79,2016
The Darkness,BH Tilt,3,19,Horror,1755,4.95,2821,4,10.75,10.9,0.15,2016
The Disappointments Room,Relativity Media,0,17,Horror,1554,1.4,901,15,2.42,3.5,1.08,2016
The Dressmaker,Broad Green Pictures,56,66,Drama,36,0.19,5278,11.9,2.02,24.04,22.02,2015
The Edge of Seventeen,STX Entertainment,94,83,Drama,1945,4.75,2442,9,14.43,19.1,4.67,2016
The Finest Hours,Walt Disney Studios Motion Pictures,64,66,Thriller,3143,10.29,3274,70,27.57,49.25,21.68,2016
The Forest,Focus Features,10,22,Thriller,2451,12.74,5198,10,26.59,40.75,14.16,2016
The Girl on the Train,Universal Pictures,44,49,Thriller,3144,24.54,7805,45,75.4,174.28,98.88,2016
The Huntsman: Winter's War,Universal Pictures,18,45,Action,3791,19.45,5131,115,48,165.15,117.15,2016
The Infiltrator,Broad Green Pictures,72,71,Thriller,1601,5.3,3310,47.5,15.44,20.72,5.28,2016
The Jungle Book,Walt Disney Studios Motion Pictures,95,86,Adventure,4028,103.26,25636,175,364,962.85,598.85,2016
The Legend of Tarzan,Warner Bros.,36,58,Adventure,3561,38.53,10820,180,126.64,348.9,222.26,2016
The Light Between Oceans,Walt Disney Studios Motion Pictures,62,61,Drama,1500,4.77,3180,20,12.55,22.28,9.73,2016
The Magnificent Seven,Sony Pictures Releasing,63,72,Western,3674,34.7,9445,90,93.43,162.53,69.1,2016
The Man Who Knew Infinity,IFC Films,62,71,Drama,6,0.08,13333,10,3.87,12.38,8.51,2016
The Nice Guys,Warner Bros.,93,79,Black Comedy,2865,11.2,3909,50,36.26,59.6,23.34,2016
The Other Side of the Door,Twentieth Century Fox,35,29,Horror,546,1.21,2216,5,3,12.91,9.91,2016
The Perfect Match,Lionsgate,25,44,Romantic Comedy,925,4.29,4638,5,9.67,10.18,0.51,2016
The Purge: Election Year,Universal Pictures,55,48,Horror,2796,31.52,11273,10,79.21,118.51,39.3,2016
The Secret Life of Pets,Universal Pictures,73,62,Adventure,4370,104.35,23879,75,368.38,886.61,518.23,2016
The Shallows,Sony Pictures Releasing,79,59,Drama,2962,16.8,5672,13,55.12,118.76,63.64,2016
The Witch,A24,90,58,Horror,2046,8.8,4301,3.5,25.14,40.45,15.31,2016
The Young Messiah,Focus Features,47,65,Drama,1761,3.29,1868,16.8,6.49,7.31,0.82,2016
Triple 9,Open Road Films (II),53,41,Thriller,2205,6.11,2771,20,12.64,25.94,13.3,2016
Trolls,Twentieth Century Fox,76,67,Adventure,4060,46.58,11473,125,153.71,344.15,190.44,2016
Tyler Perry's Boo! A Madea Halloween,Lionsgate,19,52,Comedy,2260,28.5,12611,20,73.21,73.21,0,2016
War Dogs,Warner Bros.,61,68,Comedy,3258,14.69,4509,50,43.03,86.23,43.2,2016
Warcraft,Universal Pictures,28,76,Action,3400,24.17,7109,160,47.37,438.9,391.53,2016
When the Bough Breaks,Screen Gems,13,45,Thriller,2246,14.2,6322,10,29.75,30.77,1.02,2016
Whiskey Tango Foxtrot,Paramount Pictures,68,55,Comedy,2374,7.45,3138,35,23.08,25.35,2.27,2016
Why Him?,Twentieth Century Fox,39,51,Comedy,2917,11,3771,38,60.32,117.43,57.11,2016
X-Men: Apocalypse,Twentieth Century Fox,47,56,Action,4150,65.77,15848,178,155.44,542.54,387.1,2016
Zoolander 2,Paramount Pictures,22,20,Comedy,3394,13.84,4078,50,28.85,55.35,26.5,2016
Zootopia,Walt Disney Studios Motion Pictures,97,92,Adventure,3827,75.06,19613,150,341.27,1036.37,695.1,2016
47 Meters Down,Entertainment Studios Motion Pictures,54,36,Horror,2270,11.21,4938,5,44.31,62.19,17.88,2017
A Bad Moms Christmas,STX Entertainment,31,44,Comedy,3615,16.76,4636,28,72.11,127.71,55.6,2017
A Cure for Wellness,Twentieth Century Fox,42,41,Thriller,2704,4.36,1612,40,8.11,26.62,18.51,2017
A Dog's Purpose,Universal Pictures,35,73,Drama,3059,18.22,5956,25,64.32,203.67,139.35,2017
Alien: Covenant,Twentieth Century Fox,66,55,Horror,3761,36.16,9614,97,74.26,238.52,164.26,2017
All Eyez on Me,Lionsgate,18,53,Drama,2471,26.44,10700,45,44.92,54.88,9.96,2017
All Saints,Affirm Films,95,72,Drama,846,1.51,1785,2,5.8,5.94,0.14,2017
American Assassin,Lionsgate,34,61,Thriller,3154,14.85,4708,63,36.25,68.31,32.06,2017
American Made,Universal Pictures,86,78,Thriller,3024,16.78,5549,50,51.34,135.57,84.23,2017
An Inconvenient Sequel: Truth to Power,Paramount Pictures,79,50,Documentary,4,0.12,30000,1,3.5,5.84,2.34,2017
Annabelle: Creation,Warner Bros.,70,67,Horror,3502,35.01,9997,15,102.09,305.38,203.29,2017
Atomic Blonde,Focus Features,78,64,Thriller,3304,18.29,5536,30,51.69,98.35,46.66,2017
Baahubali 2: The Conclusion,Great India Films,89,87,Action,425,10.43,24541,30,20.19,263.5,243.31,2017
Baby Driver,TriStar Pictures,93,86,Thriller,3226,20.55,6370,34,107.83,228.1,120.27,2017
Battle of the Sexes,Fox Searchlight Pictures,85,71,Drama,21,0.52,24762,25,12.64,18.45,5.81,2017
Baywatch,Paramount Pictures,18,55,Comedy,3647,18.5,5073,60,58.06,175.86,117.8,2017
Beauty and the Beast,Walt Disney Studios Motion Pictures,71,80,Musical,4210,174.75,41508,160,504.01,1263.52,759.51,2017
Before I Fall,Open Road Films (II),64,57,Drama,2346,4.69,1999,5,12.24,18.95,6.71,2017
Birth of the Dragon,BH Tilt,24,68,Action,1618,2.7,1669,31,6.9,7.22,0.32,2017
Blade Runner 2049,Warner Bros.,87,81,Thriller,4058,32.75,8070,185,92.05,259.36,167.31,2017
Boo 2! A Madea Halloween,Lionsgate,5,40,Comedy,2388,21.23,8890,20,47.32,47.88,0.56,2017
Captain Underpants: The First Epic Movie,Twentieth Century Fox,88,61,Adventure,3434,23.85,6945,38,73.92,126.58,52.66,2017
Cars 3,Walt Disney Studios Motion Pictures,69,69,Adventure,4256,53.69,12615,175,152.9,383.54,230.64,2017
CHIPS,Warner Bros.,18,45,Action,2464,7.72,3133,25,18.6,23.19,4.59,2017
Coco,Walt Disney Studios Motion Pictures,97,94,Musical,3987,50.8,12741,175,209.73,807.13,597.4,2017
Collide,Open Road Films (II),21,35,Action,2045,1.51,738,29.2,2.28,5.47,3.19,2016
Daddy's Home 2,Paramount Pictures,21,50,Comedy,3575,29.65,8294,70,104.03,175.81,71.78,2017
Darkest Hour,Focus Features,85,82,Drama,4,0.18,45000,30,56.47,150.83,94.36,2017
Despicable Me 3,Universal Pictures,58,53,Adventure,4529,72.43,15992,75,264.62,1034.72,770.1,2017
Detroit,Annapurna Pictures,84,79,Drama,20,0.35,17500,40,16.79,26.03,9.24,2017
Diary of a Wimpy Kid: The Long Haul,Twentieth Century Fox,18,33,Adventure,3157,7.13,2258,22,20.74,35.61,14.87,2017
Downsizing,Paramount Pictures,48,22,Comedy,2668,4.95,1855,68,24.45,54.46,30.01,2017
Dunkirk,Warner Bros.,93,81,Action,3720,50.51,13578,150,188.05,499.84,311.79,2017
"Everything, Everything",Warner Bros.,45,62,Drama,2801,11.73,4188,10,34.12,61.6,27.48,2017
Father Figures,Warner Bros.,17,25,Comedy,2902,3.29,1134,25,17.5,21.04,3.54,2017
Ferdinand,Twentieth Century Fox,71,50,Adventure,3621,13.4,3701,111,84.41,289.84,205.43,2017
Fifty Shades Darker,Universal Pictures,11,48,Drama,3710,46.61,12563,55,114.58,381.4,266.82,2017
Fist Fight,Warner Bros.,24,40,Comedy,3185,12.2,3830,25,32.19,40.29,8.1,2017
Flatliners,Sony Pictures Releasing,48,33,Thriller,2552,6.57,2574,20,16.88,45.17,28.29,2017
Free Fire,A24,69,52,Action,1070,0.99,925,10,1.8,3.79,1.99,2017
Friend Request,Entertainment Studios Motion Pictures,16,28,Thriller,2573,2,777,9.9,3.76,11.31,7.55,2017
Geostorm,Warner Bros.,16,36,Action,3246,13.71,4224,100,33.7,220.8,187.1,2017
Get Out,Universal Pictures,98,86,Horror,2781,33.38,12003,5,176.04,255.41,79.37,2017
Ghost in the Shell,Paramount Pictures,44,51,Action,3440,18.68,5430,110,40.56,167.91,127.35,2017
Gifted,Fox Searchlight Pictures,73,85,Drama,56,0.45,8036,7,24.8,36.96,12.16,2017
Girls Trip,Universal Pictures,91,78,Comedy,2591,31.2,12042,28,115.17,140.89,25.72,2017
Going in Style,Warner Bros.,48,57,Comedy,3061,11.93,3897,24,45.02,78.67,33.65,2017
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,84,87,Action,4347,146.51,33704,200,389.81,869.11,479.3,2017
Happy Death Day,Universal Pictures,71,66,Horror,3149,26.04,8269,5,55.68,125.01,69.33,2017
Home Again,Open Road Films (II),33,45,Romantic Comedy,2940,8.57,2915,15,27.02,37.34,10.32,2017
How to Be a Latin Lover,Pantelion Films,40,61,Comedy,1118,12.25,10957,10,32.15,62.56,30.41,2017
I Am Not Your Negro,Magnolia Pictures,98,83,Documentary,43,0.69,16047,1,7.12,9.62,2.5,2017
"I, Tonya",Neon,89,88,Black Comedy,4,0.26,65000,11,30.01,53.8,23.79,2017
It,Warner Bros.,86,84,Horror,4103,123.4,30076,35,327.48,701.73,374.25,2017
It Comes At Night,A24,87,44,Horror,2533,5.99,2365,5,13.99,19.72,5.73,2017
Jigsaw,Lionsgate,33,90,Horror,2941,16.64,5658,10,38.05,104.22,66.17,2017
Jumanji: Welcome to the Jungle,Sony Pictures Releasing,76,87,Adventure,3765,36.17,9607,90,404.52,964.5,559.98,2017
Just Getting Started,Broad Green Pictures,5,10,Comedy,2161,3.2,1481,22,6.07,6.76,0.69,2017
Justice League,Warner Bros.,40,72,Action,4051,93.84,23165,300,229.02,655.95,426.93,2017
Kidnap,Aviron Pictures,38,50,Thriller,2378,10.02,4214,21,30.97,34.84,3.87,2017
King Arthur: Legend of the Sword,Warner Bros.,31,69,Adventure,3702,15.37,4152,175,39.18,139.63,100.45,2017
Kingsman: The Golden Circle,Twentieth Century Fox,52,64,Action,4003,39.02,9748,104,100.23,408.8,308.57,2017
Kong: Skull Island,Warner Bros.,75,69,Adventure,3846,61.03,15868,185,168.05,561.07,393.02,2017
Lady Bird,A24,99,79,Drama,4,0.36,90000,10,48.96,78.94,29.98,2017
LBJ,Electric Entertainment,57,55,Drama,659,1.11,1684,20,2.47,2.51,0.04,2017
Let There Be Light,Atlas Distribution Company,10,72,Drama,373,1.73,4638,3,7.23,7.24,0.01,2017
Life,Sony Pictures Releasing,67,54,Drama,3146,12.5,3973,58,30.23,100.93,70.7,2017
Logan,Twentieth Century Fox,93,90,Action,4071,88.41,21717,127,226.28,615.46,389.18,2017
Logan Lucky,Bleecker Street Media,92,75,Comedy,3031,7.6,2507,29,27.78,44.26,16.48,2017
Loving Vincent,Good Deed Entertainment,85,86,Drama,1,0.02,20000,5.5,6.74,44.36,37.62,2017
Lowriders,BH Tilt,57,61,Drama,295,2.4,8136,0.92,6.3,6.19,-0.11,2017
Marshall,Open Road Films (II),80,84,Drama,821,3,3654,12,10.05,10.12,0.07,2017
Molly's Game,STX Entertainment,82,84,Drama,271,2.35,8672,30,28.78,53.3,24.52,2017
Monster Trucks,Paramount Pictures,32,51,Adventure,3119,10.95,3511,125,33.37,61.64,28.27,2017
Mother!,Paramount Pictures,69,50,Thriller,2368,7.53,3180,30,17.8,42.53,24.73,2017
Murder on the Orient Express,Twentieth Century Fox,60,53,Drama,3341,28.68,8584,55,102.83,345.92,243.09,2017
My Little Pony: The Movie,Lionsgate,48,76,Adventure,2528,8.89,3517,7,21.89,60.33,38.44,2017
Only The Brave,Sony Pictures Releasing,87,91,Drama,2577,6,2328,38,18.34,24.56,6.22,2017
Phantom Thread,Focus Features,91,70,Drama,4,0.22,55000,35,21.2,47.9,26.7,2017
Phoenix Forgotten,Cinelou Films,41,41,Thriller,1626,1.82,1119,3,3.6,3.7,0.1,2017
Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,30,61,Adventure,4276,62.98,14729,230,172.56,788.24,615.68,2017
Pitch Perfect 3,Universal Pictures,30,44,Comedy,3447,19.93,5782,45,104.9,185.74,80.84,2017
Power Rangers,Lionsgate,50,65,Action,3693,40.3,10913,120,85.36,142.53,57.17,2017
Resident Evil: The Final Chapter,Screen Gems,37,48,Action,3104,13.6,4381,40,26.83,314.1,287.27,2017
Rings,Paramount Pictures,8,23,Horror,2931,13,4435,25,27.79,82.92,55.13,2017
Rock Dog,Lionsgate,47,47,Adventure,2077,3.7,1781,60,9.42,24.15,14.73,2017
"Roman J. Israel, Esq.",Sony Pictures Releasing,53,53,Drama,4,0.06,15000,22,11.96,12.97,1.01,2017
